film,qid,wiki,filmLabel,year,imdb,countryLabel,runtime,genreLabel
http://www.wikidata.org/entity/Q53371741,,,Q53371741,,,,,
http://www.wikidata.org/entity/Q133833410,,,Bucking Fastard,,tt35670577,,,drama film
http://www.wikidata.org/entity/Q136006865,,,Ghost Elephants,,tt35237771,,,
http://www.wikidata.org/entity/Q32443,,,On Death Row,,tt1843894,,49,documentary film
http://www.wikidata.org/entity/Q114200183,,,The Fire Within: A Requiem for Katia and Maurice Krafft,,tt19383190,,,documentary film
http://www.wikidata.org/entity/Q2200405,,,Herakles,1962,tt0056064,,9,documentary film
http://www.wikidata.org/entity/Q3765038,,,Game in the Sand,1964,tt0058607,,14,
http://www.wikidata.org/entity/Q3822050,,,The Unprecedented Defence of the Fortress Deutschkreuz,1966,tt0061394,,14,satire
http://www.wikidata.org/entity/Q3023951,,,Last Words,1967,tt0061905,,13,documentary film
http://www.wikidata.org/entity/Q3924733,,,Precautions Against Fanatics,1968,tt0064647,,12,drama film
http://www.wikidata.org/entity/Q1113073,,,Signs of Life,1968,tt0063218,,87,drama film
http://www.wikidata.org/entity/Q1113073,,,Signs of Life,1968,tt0063218,,87,drama film
http://www.wikidata.org/entity/Q1113073,,,Signs of Life,1968,tt0063218,,87,drama film
http://www.wikidata.org/entity/Q4260034,,,The Flying Doctors of East Africa,1969,tt0064334,,45,documentary film
http://www.wikidata.org/entity/Q688329,,,Even Dwarfs Started Small,1970,tt0065436,,96,drama film
http://www.wikidata.org/entity/Q688329,,,Even Dwarfs Started Small,1970,tt0065436,,96,comedy film
http://www.wikidata.org/entity/Q688329,,,Even Dwarfs Started Small,1970,tt0065436,,96,horror film
http://www.wikidata.org/entity/Q688329,,,Even Dwarfs Started Small,1970,tt0065436,,96,comedy drama
http://www.wikidata.org/entity/Q2266061,,,Fata Morgana,1970,tt0067085,,79,documentary film
http://www.wikidata.org/entity/Q5647428,,,Handicapped Future,1971,tt0066820,,43,documentary film
http://www.wikidata.org/entity/Q2870474,,,Land of Silence and Darkness,1971,tt0067324,,85,documentary film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1972,tt0068182,,91,drama film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1972,tt0068182,,91,adventure film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1973,tt0068182,,91,drama film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1973,tt0068182,,91,adventure film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1974,tt0068182,,91,drama film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1974,tt0068182,,91,drama film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1974,tt0068182,,91,adventure film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1974,tt0068182,,91,adventure film
http://www.wikidata.org/entity/Q695888,,,The Enigma of Kaspar Hauser,1974,tt0071691,,110,drama film
http://www.wikidata.org/entity/Q695888,,,The Enigma of Kaspar Hauser,1974,tt0071691,,110,biographical film
http://www.wikidata.org/entity/Q2897042,,,The Great Ecstasy of Woodcarver Steiner,1974,tt0070136,,45,documentary film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1975,tt0068182,,91,drama film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1975,tt0068182,,91,drama film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1975,tt0068182,,91,drama film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1975,tt0068182,,91,adventure film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1975,tt0068182,,91,adventure film
http://www.wikidata.org/entity/Q325662,,,"Aguirre, the Wrath of God",1975,tt0068182,,91,adventure film
http://www.wikidata.org/entity/Q695888,,,The Enigma of Kaspar Hauser,1975,tt0071691,,110,drama film
